a7,code,person_need,person_know,person_job,person_edu,edu,job1,edu_knows,job_knows,edu_knows_orig,job_knows_orig,L_knows,L_knows_norm
206.0,2064.0,4.0,1.0,25.0,2.0,2.0,,1.3972776,,1.0,,1.2037649,0.74807465
206.0,2065.0,2.0,1.0,8.0,2.0,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
206.0,2067.0,2.0,1.0,5.0,2.0,3.0,5.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
206.0,2068.0,2.0,1.0,8.0,2.0,3.0,23.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
207.0,2072.0,,,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
207.0,2073.0,,,,,1.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
207.0,2074.0,,,,,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
207.0,2077.0,,,,,4.0,9.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
207.0,2078.0,,,,,3.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
208.0,2081.0,,,,,3.0,14.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
208.0,2083.0,,,,,3.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
209.0,2091.0,,0.0,,,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
209.0,2092.0,2.0,1.0,9.0,4.0,4.0,9.0,1.3972776,1.6002363,1.0,1.0,1.0063869,0.6828976
209.0,2093.0,2.0,1.0,4.0,3.0,3.0,4.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
209.0,2097.0,2.0,1.0,0.0,0.0,2.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
209.0,2099.0,2.0,1.0,4.0,2.0,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
210.0,2101.0,,,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
210.0,2102.0,,,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
210.0,2103.0,,,,,3.0,6.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
210.0,2104.0,,,,,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
210.0,2106.0,,,,,3.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
210.0,2107.0,,,,,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
210.0,2108.0,,,,,3.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
210.0,2109.0,,,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
211.0,2113.0,1.0,1.0,0.0,,2.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
211.0,2116.0,3.0,1.0,23.0,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
211.0,2117.0,4.0,1.0,4.0,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
212.0,2121.0,2.0,1.0,0.0,2.0,3.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
