a7,name_knows,edu_knows,job_knows,L_knows,L_knows_norm
573.0,0.288386,0.6930145,0.11690736,0.52361995,0.52348113
574.0,0.12053248,0.34088293,0.04274091,0.23696116,0.42882237
575.0,0.288386,0.5169487,0.11690736,0.43968034,0.49576312
576.0,0.12053248,0.86908025,0.11690736,0.5275352,0.524774
577.0,0.288386,-0.1873144,0.010955291,0.051232744,0.36749223
578.0,0.04306163,0.42214406,0.7444696,0.5767146,0.5410137
579.0,-0.5508816,-0.3633802,-0.439341,-0.64533234,0.1374766
580.0,0.19800334,0.2596218,-0.11129709,0.16511242,0.4050969
581.0,-0.33724985,0.05277529,0.1843314,-0.047743447,0.3348089
582.0,0.12053248,-0.011248629,0.4877396,0.28463185,0.4445639
583.0,-0.3830281,0.5169487,0.11690736,0.1195826,0.3900623
584.0,-0.7187351,-0.1873144,-0.06850876,-0.46462226,0.1971496
585.0,-0.88658863,0.5169487,-0.6247571,-0.4740804,0.1940264
586.0,-0.7187351,0.16481715,0.11690736,-0.22227949,0.27717462
587.0,-0.3830281,0.16481715,0.30232346,0.040100764,0.3638163
588.0,-0.7187351,0.34088293,0.11690736,-0.124405906,0.30949387
589.0,0.12053248,-0.011248629,-0.13031413,0.005505605,0.35239246
590.0,-0.88658863,0.5169487,0.4877396,0.056304153,0.36916688
591.0,0.62409306,0.16481715,0.11690736,0.43184996,0.49317738
592.0,0.288386,-0.1873144,0.11690736,0.10392177,0.38489088
593.0,-0.047321036,-0.1873144,0.30232346,0.03227032,0.36123055
594.0,-0.4217635,0.09709954,-0.11129709,-0.20784518,0.28194103
595.0,0.79194653,0.86908025,0.1843314,0.87245405,0.6386711
596.0,0.62409306,0.6289906,0.8585718,0.98174566,0.67476076
597.0,-0.88658863,-0.1873144,-0.25392488,-0.6330441,0.14153433
598.0,0.95980006,0.6930145,0.4877396,1.0205126,0.6875621
599.0,0.288386,-0.011248629,-0.06850876,0.099463984,0.38341886
600.0,1.1276536,0.16481715,0.58887565,0.87353927,0.63902944
