a7,tot_compounds,tot_s1_repeats,target_surveys,prob,skip,Ordre,today,DateTerminée,Obs,program,nganza,num_poly
588.0,97,5,5.0,0.05154639,5.0,25.0,2016-11-29,,,1.0,0.0,1.0
589.0,114,2,6.0,0.05263158,6.0,12.0,2016-10-19,,,0.0,0.0,1.0
590.0,172,5,5.0,0.029069768,9.0,22.0,2016-11-29,,,1.0,0.0,1.0
591.0,161,5,5.0,0.031055901,8.0,1.0,2016-05-25,,,1.0,0.0,1.0
592.0,138,2,6.0,0.04347826,7.0,14.0,2016-08-25,,,1.0,0.0,1.0
593.0,143,0,8.0,0.055944055,7.0,19.0,2016-11-19,,,0.0,0.0,1.0
594.0,142,2,6.0,0.04225352,7.0,3.0,2016-06-18,,,0.0,0.0,1.0
595.0,235,5,5.0,0.021276595,12.0,10.0,2016-08-13,,,0.0,0.0,1.0
596.0,171,4,5.0,0.029239766,9.0,27.0,2016-12-27,,,1.0,0.0,1.0
597.0,107,2,6.0,0.056074765,5.0,21.0,2016-11-18,,,1.0,0.0,1.0
598.0,279,2,6.0,0.021505376,14.0,24.0,2016-12-05,,,1.0,0.0,1.0
599.0,161,0,8.0,0.049689442,8.0,26.0,2016-12-16,,,1.0,0.0,1.0
600.0,142,1,7.0,0.049295776,7.0,10.0,2016-07-29,,,1.0,0.0,1.0
601.0,155,4,5.0,0.032258064,8.0,2.0,2016-05-23,,,1.0,0.0,1.0
602.0,58,1,7.0,0.12068965,3.0,21.0,2016-11-18,,,0.0,0.0,1.0
603.0,114,4,5.0,0.04385965,6.0,13.0,2016-10-21,,,0.0,0.0,1.0
604.0,73,1,7.0,0.09589041,4.0,11.0,2016-07-29,,,1.0,0.0,1.0
605.0,120,3,5.0,0.041666668,6.0,10.0,2016-09-16,,,1.0,0.0,1.0
606.0,137,5,5.0,0.03649635,7.0,15.0,2016-10-06,,,1.0,0.0,1.0
607.0,159,3,5.0,0.031446543,8.0,21.0,2016-11-11,,,1.0,0.0,1.0
608.0,197,2,6.0,0.030456852,10.0,20.0,2016-11-04,,,0.0,0.0,1.0
611.0,213,0,8.0,0.037558686,11.0,17.0,2016-10-19,,,0.0,0.0,1.0
612.0,132,3,5.0,0.03787879,7.0,18.0,2016-11-07,,,1.0,0.0,1.0
613.0,157,3,5.0,0.031847134,8.0,11.0,2016-09-03,,,1.0,0.0,1.0
614.0,93,2,6.0,0.06451613,5.0,4.0,2016-06-29,,,0.0,0.0,1.0
615.0,246,4,5.0,0.020325202,12.0,17.0,2016-10-18,,,0.0,0.0,1.0
616.0,169,4,5.0,0.0295858,8.0,12.0,2016-09-30,,,0.0,0.0,1.0
617.0,141,5,5.0,0.035460994,7.0,13.0,2016-09-26,,,1.0,0.0,1.0
618.0,75,3,5.0,0.06666667,4.0,27.0,2016-12-13,,,1.0,0.0,1.0
619.0,150,3,5.0,0.033333335,8.0,8.0,2016-07-26,,,1.0,0.0,1.0
620.0,116,3,5.0,0.04310345,6.0,27.0,2016-12-12,,,1.0,0.0,1.0
621.0,197,5,5.0,0.02538071,10.0,7.0,2016-07-21,,,1.0,0.0,1.0
622.0,98,3,5.0,0.05102041,5.0,22.0,2016-11-15,,,1.0,0.0,1.0
623.0,125,4,5.0,0.04,6.0,22.0,2016-11-22,,,1.0,0.0,1.0
624.0,94,3,5.0,0.05319149,5.0,2.0,2016-07-08,,,0.0,0.0,1.0
625.0,106,2,6.0,0.056603774,5.0,19.0,2016-11-01,,,0.0,0.0,1.0
626.0,107,3,5.0,0.046728972,5.0,20.0,2016-11-22,,,1.0,0.0,1.0
627.0,43,3,5.0,0.11627907,2.0,19.0,2016-11-01,,,0.0,0.0,1.0
628.0,98,3,5.0,0.05102041,5.0,14.0,2016-10-04,,,0.0,0.0,1.0
629.0,48,3,5.0,0.104166664,2.0,23.0,2016-11-15,,,0.0,0.0,1.0
630.0,69,4,5.0,0.072463766,3.0,7.0,2016-08-20,,,1.0,0.0,1.0
631.0,92,2,6.0,0.06521739,5.0,7.0,2016-07-02,,,0.0,0.0,1.0
632.0,150,1,7.0,0.046666667,8.0,18.0,2016-11-16,,,1.0,0.0,1.0
633.0,162,1,7.0,0.043209877,8.0,20.0,2016-11-23,,,0.0,0.0,1.0
634.0,221,4,5.0,0.022624435,11.0,1.0,2016-05-23,,,1.0,0.0,1.0
