compound1,a7,dist_col1,dist_col2,dist_col_avg,dist_chief,dist_city_center
589068.0,589.0,1.4860083121935732,,1.4860083,,4.7049311224466255
320079.0,320.0,9.708545536903685,,9.708546,,4.790490541313175
587092.0,587.0,1.67488557656785,,1.6748856,,4.179322971422195
589102.0,589.0,1.4991443056311573,,1.4991443,,4.385149579833622
587105.0,587.0,1.6468924537232517,,1.6468924,,4.238071014763629
101202.0,101.0,8.578148474346893,,8.578149,,5.16608466954703
587183.0,587.0,1.439476875412958,,1.4394768,,4.229728368847475
101032.0,101.0,8.720354376885165,,8.720354,,5.412078644248306
676064.0,676.0,6.448578391172367,,6.4485784,,2.261779417283155
101116.0,101.0,8.557841526062312,,8.557841,,5.248295696979616
676133.0,676.0,6.178159845318247,,6.1781597,,2.1989793543066103
587129.0,587.0,1.2915133497441358,,1.2915133,,4.314577740554304
320052.0,320.0,9.679047644732591,,9.679048,,4.763470778004157
101090.0,101.0,8.619231990006105,,8.619232,,5.395212178724418
320033.0,320.0,9.727851719256604,,9.727852,,4.812692239942584
101003.0,101.0,8.627231626907545,,8.627232,,5.4661303227600015
101201.0,101.0,8.61771786412085,,8.617718,,5.2049904460967475
101045.0,101.0,8.680243520204012,,8.6802435,,5.446616652670901
676091.0,676.0,6.2702600339781105,,6.27026,,2.184507899712883
589079.0,589.0,1.5205496106619503,,1.5205497,,4.803785678683201
676084.0,676.0,6.337400599151299,,6.3374004,,2.187295189330979
589035.0,589.0,1.3924379094931787,,1.3924379,,4.470012120778662
589070.0,589.0,1.5027922460701852,,1.5027922,,4.714721079669519
101141.0,101.0,8.609679233608544,,8.609679,,5.248853394438868
320127.0,320.0,9.615821712424522,,9.615822,,4.696077531556942
587131.0,587.0,1.3444198253290944,,1.3444198,,4.270756002357122
101058.0,101.0,8.640349064281137,,8.640349,,5.323197615494186
587036.0,587.0,1.2928618642600702,,1.2928618,,4.42043636393568
320069.0,320.0,9.564867187919607,,9.564867,,4.64656094455847
589042.0,589.0,1.4480529046896846,,1.4480529,,4.45535816441994
676138.0,676.0,6.168029710932123,,6.16803,,2.2216139628075324
589018.0,589.0,1.407138735433991,,1.4071387,,4.64684002306731
676107.0,676.0,6.207881003589737,,6.207881,,2.152002448598434
676103.0,676.0,6.186082358487493,,6.1860824,,2.1219757518107496
101069.0,101.0,8.633312322153147,,8.633312,,5.35593528127382
676125.0,676.0,6.130547365152868,,6.1305475,,2.1397370254158408
587117.0,587.0,1.506315185096192,,1.5063152,,4.285095531248257
587157.0,587.0,1.55700749437669,,1.5570076,,4.139052028173093
320068.0,320.0,9.562629378666056,,9.56263,,4.643892956923165
676043.0,676.0,6.1631935211689,,6.1631937,,2.0701926956570555
587122.0,587.0,1.4157580590737553,,1.415758,,4.3103771718993835
101043.0,101.0,8.718761024604234,,8.718761,,5.447638386070772
101009.0,101.0,8.670964902000346,,8.670965,,5.465226701829554
101038.0,101.0,8.67667312740087,,8.676673,,5.333699362352825
676055.0,676.0,6.41150608546332,,6.411506,,2.175521583218736
587008.0,587.0,1.5960229372523114,,1.596023,,4.333258775077538
101086.0,101.0,8.588655923292727,,8.588655,,5.3876213746169554
320018.0,320.0,9.634117103324584,,9.634117,,4.721462258633911
589058.0,589.0,1.4635638771812758,,1.4635639,,4.601961329543281
676134.0,676.0,6.16880727617263,,6.1688075,,2.206397147155433
101041.0,101.0,8.686299265592233,,8.686299,,5.3953642143913845
676096.0,676.0,6.2410511128876225,,6.241051,,2.138387310415495
587127.0,587.0,1.3522113080939069,,1.3522114,,4.281255505420589
587205.0,587.0,1.534216896205995,,1.5342169,,4.220299144544525
589067.0,589.0,1.5154603601825896,,1.5154604,,4.680438819902221
101035.0,101.0,8.723243112233266,,8.723243,,5.404839766905004
101077.0,101.0,8.664830664653563,,8.66483,,5.445177278685997
320005.0,320.0,9.55707305826462,,9.557073,,4.6403955055116795
101091.0,101.0,8.637376188398841,,8.637376,,5.406943997860407
676144.0,676.0,6.1140380925309845,,6.114038,,2.1601363369258615
320080.0,320.0,9.710402591436493,,9.7104025,,4.792522897454092
320098.0,320.0,9.703450830360882,,9.703451,,4.784378813319369
101191.0,101.0,8.49591861244774,,8.495918,,5.110142819413365
589015.0,589.0,1.42000653051183,,1.4200065,,4.693589439657628
587198.0,587.0,1.5968636931457205,,1.5968637,,4.21173585371748
676132.0,676.0,6.17051642758886,,6.1705165,,2.203371626925394
587016.0,587.0,1.4131711242248264,,1.4131712,,4.412845546638111
101070.0,101.0,8.604624673985239,,8.604625,,5.341483717624143
320030.0,320.0,9.78598146964148,,9.785981,,4.8703911665422
589093.0,589.0,1.5121214776302747,,1.5121214,,4.565785951111276
101193.0,101.0,8.503650473943251,,8.503651,,5.098099243962269
589021.0,589.0,1.4176554807589254,,1.4176555,,4.601634685491084
320106.0,320.0,9.695935207051365,,9.695935,,4.778130137412393
101008.0,101.0,8.6618225210619,,8.661822,,5.466572193366288
